full_text,label
@ARSIPAJA Pret. Di sekolah gw dapet MBG tetep aja anak-anaknya pada jajan lagi daaan ga semua suka sama menu MBGnya🥲,Sasaran Penerima
MBG bentuk penggarongan duit negara secara TSM (Terstruktur-Masif dan Sistempik).,Politik
"@inzhapt_76 @ARSIPAJA Pasal 34 ayat (1) Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 mengamanatkan kewajiban negara untuk memelihara fakir miskin dan anak terlantar

Harusnya untuk mereka Dana MBG disalurkan 
@prabowo @bang_dasco @Gerindra",Sasaran Penerima
"Makan Bergizi Gratis bikin masyarakat ngerasa diperhatiin, bukan cuma dijanjiin doang https://t.co/NkB2N5bHg0",Sasaran Penerima
"@OniSuryaman Presiden ngotot, paling sebel kalau MBG dikritik, jadi bakalan maju terus meski ga efektif",Politik
"@anakayahumi09 @irularr_ @ARSIPAJA Harus tetap dimakan karena namanya saja MBG, Makan Bersyukur Gratis ~~",Kualitas Pangan
"🍱 Polsek Teluk Nibung monitoring Makan Bergizi Gratis SPPG Yayasan Al Muslimun Nusantara di Kapias Pulau Buaya.

👦👧 2.402 siswa terima makan sehat: lele goreng, tumis labu, tahu semur, &amp; buah semangka. https://t.co/f11NtuP7XB",Distribusi
eiw efisiensi tai nyusahin huwekk kemana duitnya anjimg makan tuh mbg monyet,Anggaran
@kiharani Kesejahteraan petani naik karena MBG andalkan pangan lokal dorongan Prabowo,Ekonomi
"@detikcom Ini lagi presiden main sandiwara.... sdh jelas MBG belum jalan dgn baik, silahkan di cek di setiap daerah sdh brp persen sih program MBG ini berjalan?? Jgn pura2 tersentak begitu pak prsiden.....",Sasaran Penerima
"@oKayinaja ya betul, udh mana farming pejabat, farming MBG. Trs buta data pulak, halu bjir negara indon ini negara yg tingkat kemiskinan nya tinggi bgt. Bro pake segala ngmg sejahtera sblm dia udahan, bro baru di lantik aja udh ancur ni negara.",Politik
@tempodotco Buat MBG lah Anjayyy....,Lainnya
@KangManto123 MBG : Mulyono Bosnya Gemoy,Sasaran Penerima
"Menag Nasaruddin Umar menyampaikan, program makan bergizi gratis (MBG) dan Sekolah Rakyat adalah bentuk nyata melanjutkan semangat kemendekaan dan kesejahteraan bangsa. https://t.co/OyehWWsjHi",Politik
@ARSIPAJA Sudah defisit anggaran ada aja cara buang anggarann... sampai hari ini didaerah saya saja belum ada mbg itu,Distribusi
"@detikcom Perlunya pemimpin blusukan agar hanya terima laporan ABS (asal bapak senang). Jgn gengsi mencontoh pa Jokowi, KDM dan lainnya yg suka berinteraksi dgn rakyat kecil. Jangankan di pelosok, di Bandung saja MBG terlambat dimulai.",Distribusi
"@GoodRecom Ide pertunjukannya si bagus ya. Mulai proklamasi, pancasila its ok. Nah begitu muncul makan bergizi gratis dst ntah kenapa jadi sebel aja lihatnya, knp harus itu🙂",Politik
"Dari pada mbg perbaikan ruang kelas jauh lbh dibutuhkan, bisa juga untuk pembagian seragam bagi yang kurang mampu dan belum punya KIP",Anggaran
"@NenkMonica Koq kejadian Masalah2 MBG sering &amp; berulang2 pak @prabowo @Gerindra, kenapa &amp; ada apa????kayaknya harus belajar kpd Program PAM-TAS di @DKIJakarta era @aniesbaswedan yg berjalan lancar dan sukses tanpa masalah serius.. https://t.co/d3GlGm13a3",Politik
chaos bareng mbg https://t.co/3Js8NgkKMO,Lainnya
Mau sampe kapan soal MBG ini lu genjot terus,Anggaran
"@DarsAlexandra1 Kasian masyarakat gak pernah makan bergizi, sehingga mbg baru bisa membuat anak²mereka cerdas..seorang menteri membully masyarakat nya sendiri.",Politik
"Program Makan Bergizi Gratis bukan hanya untuk anak sekolah, tapi juga motor penggerak ekonomi lokal. Dengan melibatkan petani, peternak, dan pelaku UMKM sekitar, manfaatnya dirasakan secara menyeluruh—anak sehat, rakyat sejahtera, dan ekonomi Indonesia makin kuat https://t.co/yc3H76BTKh",Ekonomi
@vatuloh @DS_yantie Para koruptor dipastikan akan mendapatkan hukuman yg sesuai dgn perbuatannya. Lanjutkan MBG dgn pengawasan yg ketat optimis bisa jauh lebih baik,Tata Kelola
"@lail_23 @tanyakanrl Bacanya jangan buru buru, orang jelas jelas ""TEMPAT MAKAN MBG""",Kualitas Pangan
@jek___ sampe guru disuruh jadi tumbal MBG 🥰 https://t.co/UyK1qXK5lZ,Kualitas Pangan
"Anggota Koramil 13/Kresek Serka Supatmo monitoring pendistribusian MBG bagi siswa dan siswi sekolah wilayah Cisoka dari Yayasan Al Munawwir Cendekia Mulia Cisoka di Desa Cisoka, Kecamatan Cisoka, Kabupaten Tangerang. Jumat (1/8/2025). https://t.co/R7i0tkr6XJ",Distribusi
@NeelFannn TDP JSP GATE KEEPER NTR,Lainnya
@leehnaechan ga dpt mbg ig,Lainnya
Blom ada yg bikin menu MBG sbg salah satu program diet nih??? Mayan lah murah loh 🤣🫵🏻,Lainnya
"@ARSIPAJA Sudah buka katanya lagi, ini outlook RAPBN 2026 untuk anggaran pendidikan sdh DEAL ya!! 
44% dari 757,8T anggaran 'pendidikan' utk MBG 335T 😋😋 

Sedaaapp sedaap skali, MBG adalah pendidikan itu sendiri  (kebun binatang diperluas &amp; binatangnya (anak sekolah) digemukkan👌🔥 https://t.co/RIHEsMxlYp",Anggaran
"@budimandjatmiko Dengan kata lain, Program MBG adalah investasi jangka panjang untuk masa depan Indonesia, dengan fokus pada peningkatan kualitas gizi sebagai kunci untuk mencapai SDM unggul dan kemajuan bangsa.",Sasaran Penerima
"Awokawok sis @Kimberley_PS08 @ajengcute16__ @FDonghun @bengkeldodo 

Dh pd bercocok tanam &amp; berternak lom? 

Kalau guwe sih beli di supermarket aja lagean gk doyan MBG jg

Sorry ye sorry ye 😅",Lainnya
"@tempodotco Apakah ada evaluasi terhadap dampak MBG terhadap pelajar, atau hanya makin membuat gendut para pejabat dan kontraktornya..",Tata Kelola
"@NenkMonica Mr. @prabowo yth, apa yg akan anda lakukan untuk mencegah kasus keracunan massal akibat program makan gratis agar tidak kembali terulang?",Kualitas Pangan
"komunikasi politik dan bias optimisme lagi dan lagi, sulit euy punya pres detached from reality mahhhhhhhhhhh (setelah bilang mbg sukses besar)",Politik
"@NyaiNeneng Rakyat d ksih MBG beracun..
FFFF ama Jenglot makan MEWAH2 an..",Politik
@inzhapt_76 @sociotalker Saking murahnya biaya makan mbg sampe buat banyak siswa keracunan makanan,Kualitas Pangan
"pernah juga baca komen ""balikin lagi petrus biar anak anak ini ga manja"" di tiktok.

dan tau ga, video nya tentang apa?? 
video nya tentang anak sekolah yg ngeluh kalau program MBG di domisili mereka ga enak.
kyk omg... video se harmless itu... emg mending punah aje manusia",Kualitas Pangan
